FECHA_RESULTADO,DEPARTAMENTO,SEXO,casos_positivos
2020-04-13,PUNO,MASCULINO,1
2020-04-13,TUMBES,FEMENINO,3
2020-04-13,TUMBES,MASCULINO,9
2020-04-13,UCAYALI,FEMENINO,3
2020-04-13,UCAYALI,MASCULINO,6
2020-04-14,AMAZONAS,FEMENINO,5
2020-04-14,AMAZONAS,MASCULINO,3
2020-04-14,ANCASH,FEMENINO,14
2020-04-14,ANCASH,MASCULINO,14
2020-04-14,APURIMAC,FEMENINO,4
2020-04-14,APURIMAC,MASCULINO,6
2020-04-14,AREQUIPA,FEMENINO,10
2020-04-14,AREQUIPA,MASCULINO,3
2020-04-14,AYACUCHO,FEMENINO,2
2020-04-14,AYACUCHO,MASCULINO,3
2020-04-14,CAJAMARCA,FEMENINO,4
2020-04-14,CAJAMARCA,MASCULINO,3
2020-04-14,CALLAO,FEMENINO,24
2020-04-14,CALLAO,MASCULINO,53
2020-04-14,CUSCO,MASCULINO,1
2020-04-14,HUANCAVELICA,MASCULINO,1
2020-04-14,HUANUCO,FEMENINO,7
2020-04-14,HUANUCO,MASCULINO,3
2020-04-14,ICA,FEMENINO,4
2020-04-14,ICA,MASCULINO,2
2020-04-14,JUNIN,FEMENINO,6
2020-04-14,JUNIN,MASCULINO,27
2020-04-14,LA LIBERTAD,FEMENINO,7
2020-04-14,LA LIBERTAD,MASCULINO,18
2020-04-14,LAMBAYEQUE,FEMENINO,30
2020-04-14,LAMBAYEQUE,MASCULINO,29
2020-04-14,LIMA,FEMENINO,228
2020-04-14,LIMA,MASCULINO,387
