FECHA_FALLECIMIENTO,DEPARTAMENTO,SEXO,defunciones
2020-04-21,SAN MARTIN,MASCULINO,1
2020-04-21,TUMBES,MASCULINO,3
2020-04-21,UCAYALI,MASCULINO,5
2020-04-22,ANCASH,MASCULINO,3
2020-04-22,ANCASH,FEMENINO,1
2020-04-22,AREQUIPA,MASCULINO,2
2020-04-22,CALLAO,MASCULINO,10
2020-04-22,CALLAO,FEMENINO,7
2020-04-22,CUSCO,MASCULINO,1
2020-04-22,ICA,MASCULINO,3
2020-04-22,ICA,FEMENINO,3
2020-04-22,JUNIN,MASCULINO,1
2020-04-22,LA LIBERTAD,MASCULINO,3
2020-04-22,LAMBAYEQUE,MASCULINO,18
2020-04-22,LAMBAYEQUE,FEMENINO,9
2020-04-22,LIMA,MASCULINO,100
2020-04-22,LIMA,FEMENINO,34
2020-04-22,LORETO,MASCULINO,15
2020-04-22,LORETO,FEMENINO,10
2020-04-22,PIURA,MASCULINO,10
2020-04-22,PIURA,FEMENINO,7
2020-04-22,SAN MARTIN,MASCULINO,1
2020-04-22,TUMBES,MASCULINO,3
2020-04-22,UCAYALI,MASCULINO,7
2020-04-22,UCAYALI,FEMENINO,2
2020-04-23,ANCASH,MASCULINO,7
2020-04-23,ANCASH,FEMENINO,1
2020-04-23,APURIMAC,MASCULINO,1
2020-04-23,AREQUIPA,MASCULINO,1
2020-04-23,AYACUCHO,FEMENINO,2
2020-04-23,CALLAO,MASCULINO,15
2020-04-23,CALLAO,FEMENINO,5
2020-04-23,CUSCO,MASCULINO,1
2020-04-23,ICA,MASCULINO,1
2020-04-23,ICA,FEMENINO,3
2020-04-23,JUNIN,MASCULINO,1
2020-04-23,JUNIN,FEMENINO,1
2020-04-23,LA LIBERTAD,MASCULINO,6
2020-04-23,LA LIBERTAD,FEMENINO,1
2020-04-23,LAMBAYEQUE,MASCULINO,26
2020-04-23,LAMBAYEQUE,FEMENINO,8
2020-04-23,LIMA,MASCULINO,78
2020-04-23,LIMA,FEMENINO,36
2020-04-23,LORETO,MASCULINO,21
2020-04-23,LORETO,FEMENINO,10
2020-04-23,PIURA,MASCULINO,10
2020-04-23,PIURA,FEMENINO,7
2020-04-23,TACNA,MASCULINO,1
2020-04-23,TUMBES,MASCULINO,1
2020-04-23,UCAYALI,MASCULINO,6
2020-04-23,UCAYALI,FEMENINO,4
2020-04-24,ANCASH,MASCULINO,4
2020-04-24,ANCASH,FEMENINO,4
2020-04-24,AREQUIPA,MASCULINO,1
2020-04-24,CALLAO,MASCULINO,23
2020-04-24,CALLAO,FEMENINO,11
2020-04-24,HUANCAVELICA,MASCULINO,1
2020-04-24,ICA,MASCULINO,3
2020-04-24,ICA,FEMENINO,2
2020-04-24,JUNIN,MASCULINO,1
2020-04-24,LA LIBERTAD,MASCULINO,1
2020-04-24,LA LIBERTAD,FEMENINO,1
2020-04-24,LAMBAYEQUE,MASCULINO,20
2020-04-24,LAMBAYEQUE,FEMENINO,10
2020-04-24,LIMA,MASCULINO,90
2020-04-24,LIMA,FEMENINO,41
2020-04-24,LORETO,MASCULINO,32
2020-04-24,LORETO,FEMENINO,8
2020-04-24,MOQUEGUA,FEMENINO,1
2020-04-24,PASCO,MASCULINO,1
2020-04-24,PIURA,MASCULINO,11
2020-04-24,PIURA,FEMENINO,10
2020-04-24,PUNO,MASCULINO,1
2020-04-24,TUMBES,MASCULINO,2
2020-04-24,TUMBES,FEMENINO,2
2020-04-24,UCAYALI,MASCULINO,10
2020-04-24,UCAYALI,FEMENINO,5
2020-04-25,ANCASH,MASCULINO,4
2020-04-25,ANCASH,FEMENINO,2
2020-04-25,APURIMAC,MASCULINO,1
2020-04-25,AREQUIPA,MASCULINO,1
2020-04-25,AREQUIPA,FEMENINO,1
2020-04-25,CAJAMARCA,MASCULINO,1
2020-04-25,CALLAO,MASCULINO,13
2020-04-25,CALLAO,FEMENINO,6
2020-04-25,ICA,MASCULINO,3
2020-04-25,ICA,FEMENINO,5
2020-04-25,JUNIN,MASCULINO,2
2020-04-25,JUNIN,FEMENINO,1
2020-04-25,LA LIBERTAD,MASCULINO,1
2020-04-25,LAMBAYEQUE,MASCULINO,30
2020-04-25,LAMBAYEQUE,FEMENINO,9
2020-04-25,LIMA,MASCULINO,97
2020-04-25,LIMA,FEMENINO,28
2020-04-25,LORETO,MASCULINO,32
2020-04-25,LORETO,FEMENINO,12
2020-04-25,MADRE DE DIOS,FEMENINO,1
2020-04-25,PIURA,MASCULINO,22
2020-04-25,PIURA,FEMENINO,4
2020-04-25,TUMBES,MASCULINO,1
2020-04-25,TUMBES,FEMENINO,1
2020-04-25,UCAYALI,MASCULINO,12
2020-04-25,UCAYALI,FEMENINO,13
2020-04-26,AMAZONAS,MASCULINO,1
2020-04-26,ANCASH,MASCULINO,5
2020-04-26,ANCASH,FEMENINO,3
2020-04-26,AREQUIPA,MASCULINO,2
2020-04-26,CALLAO,MASCULINO,16
2020-04-26,CALLAO,FEMENINO,4
2020-04-26,ICA,MASCULINO,3
2020-04-26,ICA,FEMENINO,3
2020-04-26,JUNIN,MASCULINO,2
2020-04-26,LA LIBERTAD,MASCULINO,5
2020-04-26,LA LIBERTAD,FEMENINO,4
2020-04-26,LAMBAYEQUE,MASCULINO,17
2020-04-26,LAMBAYEQUE,FEMENINO,14
